wl nw Kw GSV1 GSV2 GSV3
819 1.33 0.0231 0.361281 0.849088 -0.548071
820 1.33 0.0233 0.36041 0.84944 -0.54495
821 1.33 0.0239 0.359649 0.849801 -0.541668
822 1.33 0.0245 0.358888 0.850162 -0.538386
823 1.33 0.0248 0.358127 0.850523 -0.535104
824 1.33 0.0252 0.357366 0.850884 -0.531822
825 1.33 0.0262 0.356605 0.851245 -0.52854
826 1.33 0.0277 0.355844 0.851606 -0.525258
827 1.33 0.0283 0.355083 0.851967 -0.521976
828 1.33 0.0291 0.354322 0.852328 -0.518694
829 1.33 0.0311 0.353561 0.852689 -0.515412
830 1.33 0.0321 0.3528 0.85305 -0.51213
831 1.33 0.033 0.352018 0.853409 -0.50892
832 1.33 0.0346 0.351236 0.853768 -0.50571
833 1.33 0.0361 0.350454 0.854127 -0.5025
834 1.33 0.0366 0.349672 0.854486 -0.49929
835 1.33 0.037 0.34889 0.854845 -0.49608
836 1.33 0.0379 0.348108 0.855204 -0.49287
837 1.33 0.0383 0.347326 0.855563 -0.48966
838 1.33 0.0385 0.346544 0.855922 -0.48645
839 1.33 0.0391 0.345762 0.856281 -0.48324
840 1.33 0.0395 0.34498 0.85664 -0.48003
841 1.33 0.0397 0.344149 0.856951 -0.476966
842 1.33 0.04 0.343318 0.857262 -0.473902
843 1.33 0.0404 0.342487 0.857573 -0.470838
844 1.33 0.0406 0.341656 0.857884 -0.467774
845 1.33 0.0408 0.340825 0.858195 -0.46471
846 1.33 0.0412 0.339994 0.858506 -0.461646
847 1.33 0.0413 0.339163 0.858817 -0.458582
848 1.33 0.0415 0.338332 0.859128 -0.455518
849 1.33 0.042 0.337501 0.859439 -0.452454
850 1.33 0.042 0.33667 0.85975 -0.44939
851 1.33 0.0422 0.335745 0.860017 -0.446571
852 1.33 0.0425 0.33482 0.860284 -0.443752
853 1.33 0.0427 0.333895 0.860551 -0.440933
854 1.33 0.0428 0.33297 0.860818 -0.438114
855 1.33 0.0431 0.332045 0.861085 -0.435295
856 1.33 0.0436 0.33112 0.861352 -0.432476
857 1.33 0.0437 0.330195 0.861619 -0.429657
858 1.33 0.0438 0.32927 0.861886 -0.426838
859 1.33 0.0443 0.328345 0.862153 -0.424019
860 1.33 0.0445 0.32742 0.86242 -0.4212
861 1.33 0.0447 0.32634 0.862672 -0.418719
862 1.33 0.0451 0.32526 0.862924 -0.416238
863 1.33 0.0453 0.32418 0.863176 -0.413757
864 1.33 0.0455 0.3231 0.863428 -0.411276
865 1.33 0.0461 0.32202 0.86368 -0.408795
866 1.33 0.0466 0.32094 0.863932 -0.406314
867 1.33 0.0469 0.31986 0.864184 -0.403833
868 1.33 0.0471 0.31878 0.864436 -0.401352
869 1.33 0.0471 0.3177 0.864688 -0.398871
870 1.33 0.0475 0.31662 0.86494 -0.39639
871 1.33 0.0483 0.31544 0.865197 -0.394179
872 1.33 0.0487 0.31426 0.865454 -0.391968
873 1.33 0.0489 0.31308 0.865711 -0.389757
874 1.33 0.0496 0.3119 0.865968 -0.387546
875 1.33 0.0501 0.31072 0.866225 -0.385335
876 1.33 0.0505 0.30954 0.866482 -0.383124
877 1.33 0.0512 0.30836 0.866739 -0.380913
878 1.33 0.0515 0.30718 0.866996 -0.378702
879 1.33 0.052 0.306 0.867253 -0.376491
880 1.33 0.053 0.30482 0.86751 -0.37428
881 1.33 0.0535 0.303603 0.867776 -0.372341
882 1.33 0.0539 0.302386 0.868042 -0.370402
883 1.33 0.0547 0.301169 0.868308 -0.368463
884 1.33 0.0553 0.299952 0.868574 -0.366524
885 1.33 0.0557 0.298735 0.86884 -0.364585
886 1.33 0.056 0.297518 0.869106 -0.362646
887 1.33 0.0565 0.296301 0.869372 -0.360707
888 1.33 0.0575 0.295084 0.869638 -0.358768
889 1.33 0.0579 0.293867 0.869904 -0.356829
890 1.33 0.0583 0.29265 0.87017 -0.35489
891 1.33 0.0592 0.291381 0.870449 -0.353211
892 1.33 0.0598 0.290112 0.870728 -0.351532
893 1.33 0.0601 0.288843 0.871007 -0.349853
894 1.33 0.0604 0.287574 0.871286 -0.348174
895 1.33 0.0609 0.286305 0.871565 -0.346495
896 1.33 0.0619 0.285036 0.871844 -0.344816
897 1.33 0.0623 0.283767 0.872123 -0.343137
898 1.33 0.0627 0.282498 0.872402 -0.341458
899 1.33 0.0636 0.281229 0.872681 -0.339779
900 1.33 0.0641 0.27996 0.87296 -0.3381
901 1.33 0.0646 0.278647 0.873248 -0.336658
902 1.33 0.0656 0.277334 0.873536 -0.335216
903 1.33 0.0664 0.276021 0.873824 -0.333774
904 1.33 0.0667 0.274708 0.874112 -0.332332
905 1.33 0.067 0.273395 0.8744 -0.33089
906 1.33 0.0677 0.272082 0.874688 -0.329448
907 1.33 0.069 0.270769 0.874976 -0.328006
908 1.33 0.0699 0.269456 0.875264 -0.326564
909 1.33 0.0704 0.268143 0.875552 -0.325122
910 1.33 0.0709 0.26683 0.87584 -0.32368
911 1.33 0.0719 0.265377 0.876139 -0.322616
912 1.33 0.0736 0.263924 0.876438 -0.321552
913 1.33 0.0749 0.262471 0.876737 -0.320488
914 1.33 0.0756 0.261018 0.877036 -0.319424
915 1.33 0.0763 0.259565 0.877335 -0.31836
916 1.33 0.0779 0.258112 0.877634 -0.317296
917 1.33 0.0809 0.256659 0.877933 -0.316232
918 1.33 0.0829 0.255206 0.878232 -0.315168
